system,n_gt,n_hyp,n_matched,label_recall,label_precision,start_mae_ms,end_mae_ms,boundary_mae_ms,dur_mae_ms,mean_iou,tbe_20ms,tbe_50ms,singer,canonical_stem
MFA,55,41,31,0.5636363636363636,0.7560975609756098,133.35483870967744,35.0,84.17741935483875,166.22580645161287,0.44592095366518375,0.6451612903225806,0.22580645161290322,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0004
MFA,64,65,41,0.640625,0.6307692307692307,40.073170731707215,34.39024390243894,37.23170731707308,59.1463414634146,0.5550542264300639,0.6097560975609756,0.24390243902439024,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0005
MFA,34,33,34,1.0,1.0303030303030303,45.176470588235254,25.264705882352924,35.22058823529409,50.67647058823521,0.7145541865482246,0.2647058823529412,0.17647058823529413,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0007
MFA,53,53,46,0.8679245283018868,0.8679245283018868,58.043478260869556,77.00000000000001,67.5217391304348,121.95652173913048,0.6133693131651831,0.5,0.13043478260869565,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0008
MFA,55,39,31,0.5636363636363636,0.7948717948717948,221.0,109.45161290322575,165.22580645161287,328.25806451612897,0.4891204879508926,0.6129032258064516,0.2903225806451613,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0011
MFA,37,39,26,0.7027027027027027,0.6666666666666666,54.76923076923071,108.5384615384615,81.6538461538461,162.23076923076917,0.5193748985775543,0.6153846153846154,0.2692307692307692,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0012
MFA,50,51,30,0.6,0.5882352941176471,52.466666666666654,75.6,64.03333333333333,121.6,0.5417130623616081,0.5,0.2,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0013
MFA,39,39,32,0.8205128205128205,0.8205128205128205,52.24999999999999,54.31250000000003,53.28125000000001,97.43750000000004,0.48593448296667563,0.625,0.40625,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0014
MFA,14,4,6,0.42857142857142855,1.5,579.1666666666666,482.3333333333334,530.75,1048.1666666666667,0.42203141358510293,1.0,1.0,EN-Alto-1,en-alto-1_vibrato_edelweiss_control_group_0000
MFA,17,18,16,0.9411764705882353,0.8888888888888888,151.375,112.06250000000009,131.71875000000006,243.06250000000006,0.609190039165026,0.625,0.5,EN-Alto-1,en-alto-1_vibrato_edelweiss_control_group_0001
MFA,20,20,18,0.9,0.9,31.22222222222222,37.388888888888914,34.30555555555557,50.50000000000005,0.650517532473616,0.5555555555555556,0.2222222222222222,EN-Alto-1,en-alto-1_vibrato_edelweiss_control_group_0002
MFA,15,16,11,0.7333333333333333,0.6875,570.2727272727273,859.6981818181819,714.9854545454546,1429.9709090909091,0.5096477681839408,0.7272727272727273,0.7272727272727273,EN-Alto-1,en-alto-1_vibrato_edelweiss_control_group_0003
MFA,25,24,24,0.96,1.0,43.458333333333265,37.916666666666536,40.6874999999999,69.62499999999982,0.670455721757483,0.5416666666666666,0.4166666666666667,EN-Alto-1,en-alto-1_vibrato_edelweiss_control_group_0004
MFA,15,16,15,1.0,0.9375,39.26666666666663,17.99999999999994,28.633333333333287,52.06666666666658,0.7483662867787938,0.4,0.13333333333333333,EN-Alto-1,en-alto-1_vibrato_edelweiss_control_group_0005
MFA,14,3,7,0.5,2.3333333333333335,704.4285714285716,701.2857142857143,702.857142857143,1397.1428571428573,0.37201575962068095,1.0,1.0,EN-Alto-1,en-alto-1_vibrato_edelweiss_control_group_0006
MFA,18,19,15,0.8333333333333334,0.7894736842105263,90.40000000000006,73.5333333333333,81.96666666666668,146.0666666666667,0.6444476860729901,0.5333333333333333,0.3333333333333333,EN-Alto-1,en-alto-1_vibrato_edelweiss_control_group_0007
MFA,14,2,7,0.5,3.5,237.14285714285708,357.14285714285717,297.14285714285717,594.2857142857143,0.22234156820622983,1.0,1.0,EN-Alto-1,en-alto-1_vibrato_edelweiss_paired_speech_group_0000
MFA,18,18,18,1.0,1.0,13.555555555555566,14.61111111111113,14.08333333333335,26.50000000000003,0.7536104728939038,0.2222222222222222,0.05555555555555555,EN-Alto-1,en-alto-1_vibrato_edelweiss_paired_speech_group_0001
MFA,21,19,21,1.0,1.105263157894737,27.523809523809526,33.0952380952381,30.30952380952382,49.952380952380985,0.5823676739068854,0.6666666666666666,0.19047619047619047,EN-Alto-1,en-alto-1_vibrato_edelweiss_paired_speech_group_0002
MFA,16,16,16,1.0,1.0,20.124999999999986,20.124999999999993,20.12499999999999,24.99999999999997,0.7408736756927077,0.3125,0.125,EN-Alto-1,en-alto-1_vibrato_edelweiss_paired_speech_group_0003
MFA,25,24,25,1.0,1.0416666666666667,10.600000000000023,12.00000000000001,11.300000000000017,18.600000000000033,0.8134698208568178,0.12,0.04,EN-Alto-1,en-alto-1_vibrato_edelweiss_paired_speech_group_0004
MFA,15,15,15,1.0,1.0,20.66666666666667,10.0,15.333333333333337,29.333333333333336,0.767654555321222,0.3333333333333333,0.0,EN-Alto-1,en-alto-1_vibrato_edelweiss_paired_speech_group_0005
MFA,14,2,5,0.35714285714285715,2.5,246.79999999999995,389.4,318.09999999999997,636.1999999999999,0.25043181818181826,1.0,1.0,EN-Alto-1,en-alto-1_vibrato_edelweiss_paired_speech_group_0006
MFA,18,19,18,1.0,0.9473684210526315,14.333333333333334,12.72222222222222,13.527777777777775,24.16666666666669,0.7790212821525019,0.2777777777777778,0.05555555555555555,EN-Alto-1,en-alto-1_vibrato_edelweiss_paired_speech_group_0007
MFA,14,4,7,0.5,1.75,426.1428571428573,369.1428571428574,397.64285714285734,765.571428571429,0.49952604003933304,1.0,1.0,EN-Alto-1,en-alto-1_vibrato_edelweiss_vibrato_group_0000
MFA,17,18,13,0.7647058823529411,0.7222222222222222,303.3076923076923,201.15384615384616,252.2307692307693,501.846153846154,0.5774247243923073,0.6923076923076923,0.38461538461538464,EN-Alto-1,en-alto-1_vibrato_edelweiss_vibrato_group_0001
MFA,19,20,17,0.8947368421052632,0.85,39.64705882352944,42.588235294117766,41.1176470588236,60.588235294117645,0.6604018625028162,0.6470588235294118,0.47058823529411764,EN-Alto-1,en-alto-1_vibrato_edelweiss_vibrato_group_0002
MFA,16,17,13,0.8125,0.7647058823529411,188.76923076923077,192.30769230769232,190.53846153846155,351.53846153846166,0.6254625273764153,0.6923076923076923,0.46153846153846156,EN-Alto-1,en-alto-1_vibrato_edelweiss_vibrato_group_0003
MFA,25,25,24,0.96,0.96,32.249999999999936,32.416666666666636,32.333333333333286,57.16666666666657,0.7071476296254887,0.5416666666666666,0.20833333333333334,EN-Alto-1,en-alto-1_vibrato_edelweiss_vibrato_group_0004
MFA,15,16,15,1.0,0.9375,16.266666666666648,46.93333333333325,31.59999999999995,56.26666666666664,0.7212201545580835,0.6,0.13333333333333333,EN-Alto-1,en-alto-1_vibrato_edelweiss_vibrato_group_0005
